system,method,shots,status,wall_s,peak_mb,err_Ha
h2,traditional,500,ok,0.2553506799999923,360.19921875,0.0
h2,active,500,ok,0.31004887900007816,360.19921875,0.0
h2,ev,500,fail,0,0,0
n2,traditional,500,ok,78.98210850500027,375.2734375,0.00017863050403832403
n2,active,500,ok,296.3773333969998,376.7734375,7.247535904753022e-13
n2,ev,500,ok,536.562154968,377.07421875,3.4103361912229957e-06
